ticket_id,user_id,created_at,category,priority,status,description
1,23,2025-05-05 14:50:40,Billing,High,Resolved,"Charged twice this month, please check."
2,65,2024-07-31 06:39:52,Other,Low,Resolved,General feedback about the app.
3,70,2024-05-01 22:22:24,Other,High,Closed,General feedback about the app.
4,67,2025-03-23 18:07:06,Content,Low,Open,When will regional-language titles be added?
5,55,2024-10-26 05:56:01,Other,High,Resolved,General feedback about the app.
6,45,2024-07-15 21:34:30,Content,Medium,InProgress,When will regional-language titles be added?
7,11,2024-12-07 00:28:24,Playback,Medium,Resolved,Video keeps buffering on mobile.
8,25,2024-05-05 05:57:28,Account,Medium,Closed,Cannot reset my password.
9,67,2024-07-31 12:29:03,Other,Medium,InProgress,General feedback about the app.
10,89,2025-01-01 08:50:05,Playback,Medium,Open,Video keeps buffering on mobile.
11,84,2024-11-14 00:03:24,Content,Low,Resolved,When will regional-language titles be added?
12,47,2024-12-01 00:49:14,Other,Critical,InProgress,General feedback about the app.
13,53,2025-05-10 17:51:03,Playback,Low,Resolved,Video keeps buffering on mobile.
14,33,2024-12-25 04:25:40,Content,Medium,Closed,When will regional-language titles be added?
15,95,2024-08-16 05:47:01,Content,High,Resolved,When will regional-language titles be added?
16,58,2024-09-03 16:04:46,Playback,Low,Resolved,Video keeps buffering on mobile.
17,71,2024-06-10 10:20:04,Account,Low,Closed,Cannot reset my password.
18,12,2024-08-21 21:07:06,Billing,Medium,Resolved,"Charged twice this month, please check."
19,9,2024-11-21 08:23:25,Billing,Low,Open,"Charged twice this month, please check."
20,93,2025-02-23 12:21:21,Billing,High,Resolved,"Charged twice this month, please check."
21,37,2024-06-14 15:11:18,Other,High,Closed,General feedback about the app.
22,57,2024-05-09 07:39:22,Content,Low,Resolved,When will regional-language titles be added?
23,37,2024-09-29 06:20:16,Other,Low,Resolved,General feedback about the app.
24,90,2024-10-27 22:39:35,Other,Medium,Resolved,General feedback about the app.
25,31,2024-05-01 05:21:18,Account,Critical,Open,Cannot reset my password.
26,100,2025-03-07 05:59:01,Account,Low,InProgress,Cannot reset my password.
27,26,2025-06-07 03:25:24,Other,Low,Closed,General feedback about the app.
28,71,2024-12-07 23:20:54,Billing,Medium,Resolved,"Charged twice this month, please check."
29,45,2025-01-25 21:24:18,Other,Critical,InProgress,General feedback about the app.
30,25,2025-04-19 05:19:20,Other,High,Resolved,General feedback about the app.
31,23,2025-03-13 05:32:22,Account,Medium,Resolved,Cannot reset my password.
32,38,2025-01-20 01:25:24,Other,High,Closed,General feedback about the app.
33,69,2024-11-11 06:58:31,Account,Medium,Closed,Cannot reset my password.
34,62,2024-11-05 22:56:31,Other,High,Closed,General feedback about the app.
35,88,2025-04-23 20:27:05,Content,High,Closed,When will regional-language titles be added?
36,15,2024-11-17 06:06:31,Content,Low,Resolved,When will regional-language titles be added?
37,87,2024-10-26 14:12:30,Playback,High,Resolved,Video keeps buffering on mobile.
38,67,2025-06-21 01:16:31,Account,Low,Closed,Cannot reset my password.
39,37,2024-07-12 05:49:17,Playback,Low,Closed,Video keeps buffering on mobile.
40,10,2024-09-16 15:12:55,Account,Medium,InProgress,Cannot reset my password.
41,35,2024-09-19 23:20:56,Other,High,Resolved,General feedback about the app.
42,64,2024-10-03 02:03:14,Playback,Low,InProgress,Video keeps buffering on mobile.
43,27,2024-10-26 00:44:17,Account,Low,InProgress,Cannot reset my password.
44,46,2024-08-30 03:58:05,Other,High,Open,General feedback about the app.
45,87,2025-05-18 15:56:19,Billing,Medium,Closed,"Charged twice this month, please check."
46,6,2025-05-10 14:34:33,Other,Low,InProgress,General feedback about the app.
47,36,2025-05-17 05:16:29,Other,Low,Closed,General feedback about the app.
48,36,2025-03-06 01:00:41,Other,Low,Resolved,General feedback about the app.
49,68,2025-03-25 16:34:11,Billing,Medium,Resolved,"Charged twice this month, please check."
50,45,2025-03-02 19:24:55,Other,High,Closed,General feedback about the app.
51,16,2025-06-07 12:02:38,Content,Medium,Resolved,When will regional-language titles be added?
52,87,2024-10-11 16:42:33,Billing,Low,Open,"Charged twice this month, please check."
53,79,2024-11-18 17:10:23,Account,Low,InProgress,Cannot reset my password.
54,61,2025-01-22 11:46:53,Account,Low,Resolved,Cannot reset my password.
55,54,2025-02-14 04:21:16,Playback,Low,Resolved,Video keeps buffering on mobile.
56,24,2024-08-10 20:36:40,Content,Critical,Resolved,When will regional-language titles be added?
57,93,2024-11-26 16:12:57,Billing,High,Resolved,"Charged twice this month, please check."
58,26,2024-08-22 06:43:27,Content,High,Closed,When will regional-language titles be added?
59,2,2024-09-15 04:11:53,Content,Medium,Open,When will regional-language titles be added?
60,69,2025-01-01 05:34:56,Other,High,InProgress,General feedback about the app.
61,73,2024-06-07 01:21:57,Other,Low,Resolved,General feedback about the app.
62,28,2024-11-14 12:18:11,Billing,Medium,Resolved,"Charged twice this month, please check."
63,96,2025-01-15 22:27:00,Content,Low,InProgress,When will regional-language titles be added?
